"","D","mean.d18O_mod","sd.d18O_mod","N","se.d18O_mod","CL95.d18O_mod"
"1",2e+05,-0.491242401860053,NA,1,NA,NA
"2",3e+05,-0.916050642080938,1.19958501059382,2,0.848234695600628,2.47683307990956
"3",4e+05,-1.63955564874067,0.44174193276903,3,0.255039823796545,0.600201395741089
"4",5e+05,-1.66251571482495,0.521874645194566,4,0.260937322597283,0.556278392611698
"5",6e+05,-1.66578178695511,0.706294442923476,5,0.315864477301448,0.636482201179968
"6",7e+05,-1.71333212593086,0.569449254482589,6,0.232476684648438,0.451744109288419
"7",8e+05,-1.68692117800997,0.576234790130622,7,0.217796278781303,0.412632170047275
"8",9e+05,-1.62111954672123,0.588200614028487,8,0.207960321438817,0.386712207615847
"9",1e+06,-1.56623541117283,0.587307776941488,9,0.195769258980496,0.358867160453675
"10",1100000,-1.48602529842566,0.557648565538717,10,0.176343960102803,0.319616571928983
"11",1200000,-1.3702154507894,0.505524677613642,11,0.15242142526453,0.273731323677802
"12",1300000,-1.19268607511268,0.46904301516762,12,0.135401055534269,0.241323616300511
"13",1400000,-0.735527804380091,0.381672357684635,12,0.110179319225732,0.196371229545935
"14",1500000,-0.431477288695247,0.31936988172695,12,0.0921941435930567,0.164316474829651
"15",1600000,-1.30835544877091,0.340378866008118,12,0.0982589149581231,0.175125641361468
"16",1700000,-1.67259722080277,0.399413091530779,12,0.115300627956578,0.205498874365561
"17",1800000,-1.45513637742382,0.440549543371681,12,0.127175698728503,0.226663665224818
"18",1900000,-1.50395430673438,0.460163834709732,12,0.132837856920497,0.236755259308527
"19",2e+06,-1.55979241585644,0.35019583262373,12,0.101092829117198,0.180176491300965
"20",2100000,-1.55373446705076,0.338404777628812,13,0.0938565982771286,0.166213784322691
"21",2200000,-1.50196664533763,0.504802736359868,13,0.140007088456926,0.247943228623258
"22",2300000,-1.44503998424328,0.387570871635424,13,0.107492819273676,0.190362623480535
"23",2400000,-1.41697345867152,0.418392275191094,13,0.11604113857381,0.2055011276087
"24",2500000,-1.08374346478066,0.458805854653858,13,0.12724984880289,0.225351006879317
"25",2600000,-0.673608771731423,0.403043938830672,13,0.111784275978381,0.197962507476329
"26",2700000,-0.753579099758467,0.19700841579765,13,0.054640303450489,0.0967643381473276
"27",2800000,-0.365408293124999,0.306994826294265,13,0.0851450451927794,0.150786204034705
"28",2900000,-1.23629415263723,0.436131882683032,13,0.120961220452178,0.214214264918093
"29",3e+06,-1.36588938034045,0.427102988089468,13,0.118457055650805,0.209779555842286
"30",3100000,-1.43267899335901,0.466370195637551,13,0.129347819516874,0.229066373280515
"31",3200000,-1.49084477994105,0.459368665234648,13,0.12740594437269,0.225627441736843
"32",3300000,-1.43370628069098,0.45754785507012,13,0.126900942494914,0.224733117046453
"33",3400000,-1.39182149844975,0.31201779441408,14,0.0833902632338826,0.146876115858774
"34",3500000,-1.35233292892222,0.300028693483009,14,0.080186041229631,0.141232487165412
"35",3600000,-1.29295356659642,0.315699900487388,14,0.0843743474758881,0.148609393408674
"36",3700000,-1.21071282136122,0.326452843248976,14,0.0872481923125634,0.153671125448155
"37",3800000,-1.10308542214404,0.316796992144649,14,0.0846675575546995,0.149125827292396
"38",3900000,-0.932230817874223,0.280402303087491,14,0.0749406677582668,0.131993757704374
"39",4e+06,-0.75020470716311,0.18664263468318,14,0.0498823423392335,0.087858275158285
"40",4100000,-0.596401794547311,0.167564038865843,14,0.0447833731271469,0.0788774090030328
"41",4200000,-0.465086972245856,0.250491263209792,14,0.0669466060936609,0.117913735868494
"42",4300000,-1.30927428054413,0.358939675094706,14,0.0959306633374532,0.168963649667865
"43",4400000,-1.47594100776137,0.399299581448783,14,0.106717302033113,0.187962265733472
"44",4500000,-1.47735658325584,0.410837786710362,14,0.109801017100763,0.193393644337966
"45",4600000,-1.4877437356201,0.370258513835374,14,0.0989557502362906,0.174291765884387
"46",4700000,-1.4937381357781,0.321111745363654,14,0.0858207238585563,0.151156910791613
"47",4800000,-1.49650964413921,0.317259029299888,14,0.0847910421786183,0.149343322012117
"48",4900000,-1.49675264834395,0.334444302117923,14,0.0893839995345702,0.157432944356337
"49",5e+06,-1.49479642463275,0.360264526845528,14,0.0962847448617277,0.16958729704546
"50",5100000,-1.49091051696738,0.377588801401181,14,0.100914851994703,0.177742351668494
"51",5200000,-1.48515853010368,0.393261050118452,14,0.105103436650442,0.185119748277197
"52",5300000,-0.660300071088567,0.347438771672601,14,0.0928569176057465,0.163549830155815
"53",5400000,-0.823964458216423,0.258633697706831,14,0.0691227632495301,0.121746623524166
"54",5500000,-0.683941887039241,0.240951516897045,14,0.0643970016465867,0.113423091713646
"55",5600000,-0.703386388969484,0.3541595909306,14,0.0946531321073083,0.166713520963442
"56",5700000,-1.57099114688413,0.398947688361925,14,0.106623254649699,0.187796619123822
"57",5800000,-1.43016639809883,0.424405617474423,14,0.113427172400824,0.199780428421857
"58",5900000,-1.56365705316343,0.458775983983647,14,0.122613039239064,0.215959588789928
"59",6e+06,-1.67347835280619,0.521136417417507,14,0.139279566124795,0.24531451152193
"60",6100000,-1.57174572340708,0.399601119088224,14,0.106797891357113,0.188104208526669
"61",6200000,-1.69242806999693,0.359771442640277,14,0.096152962564665,0.169355187549928
"62",6300000,-1.659590322717,0.428418408162881,14,0.114499635823755,0.201669369118914
"63",6400000,-1.58815591018278,0.41508506319665,14,0.110936149489234,0.195392964519226
"64",6500000,-1.57100622364809,0.352958954993814,14,0.0943322486557583,0.166148345687825
"65",6600000,-1.51879398589408,0.363607432018167,14,0.0971781738497629,0.171160902577682
"66",6700000,-0.925586975057582,0.365768243783499,14,0.0977556750857042,0.172178061357968
"67",6800000,-1.07530079300102,0.253158821557533,14,0.0676595410505521,0.119169435434215
"68",6900000,-1.06049163344928,0.208585223670538,14,0.0557467459227688,0.0981873086302403
"69",7e+06,-1.00639691828132,0.241054011917664,14,0.0644243945930871,0.113471339187965
"70",7100000,-0.708892998443461,0.41997433527281,14,0.112242862416356,0.197694491242315
"71",7200000,-1.72606840177201,0.46569247580938,14,0.124461549434087,0.219215388532504
"72",7300000,-1.76927888339974,0.471105616163923,15,0.121638947047177,0.213239199387124
"73",7400000,-1.74310878297634,0.423792527707765,15,0.109422760137288,0.191823608579536
"74",7500000,-1.86701701202597,0.418144219130587,15,0.107964373133711,0.189266982724178
"75",7600000,-1.9084124646749,0.322469887593367,15,0.0832613669534992,0.145961368953282
"76",7700000,-1.77093729424853,0.320104766940839,15,0.0826506954268985,0.144890831016363
"77",7800000,-1.79528776276068,0.335160991455561,15,0.0865381958803837,0.1517058150691
"78",7900000,-1.75383224959421,0.424856441271307,15,0.109697461438181,0.192305173792776
"79",8e+06,-1.66044486621354,0.352410162706293,15,0.0909919127463812,0.159513405005191
"80",8100000,-1.76925789402487,0.411464460981743,16,0.102866115245436,0.179592271448958
"81",8200000,-1.6998445625316,0.464658603008093,16,0.116164650752023,0.202809967508289
"82",8300000,-1.11403952082279,0.401186996681669,16,0.100296749170417,0.175106457160205
"83",8400000,-1.0898866673033,0.28986195435313,16,0.0724654885882824,0.126516313619665
"84",8500000,-1.10501422123124,0.246242738835645,16,0.0615606847089112,0.107477794533677
"85",8600000,-1.1473657192454,0.264258563892394,16,0.0660646409730985,0.115341178253984
"86",8700000,-1.01034218049245,0.34909068933096,16,0.0872726723327401,0.152367934010737
"87",8800000,-1.18091241888615,0.385555310206913,16,0.0963888275517283,0.168283680597969
"88",8900000,-1.55748673039322,0.408367231124135,16,0.102091807781034,0.17824042068644
"89",9e+06,-1.65548499146505,0.402983666567332,16,0.100745916641833,0.175890651316464
"90",9100000,-1.74911429295776,0.374203936159398,16,0.0935509840398494,0.163329135934753
"91",9200000,-1.79360254575192,0.320880365960265,16,0.0802200914900663,0.140054948241894
"92",9300000,-1.82478805689247,0.326655151927995,15,0.0843419975579985,0.147855768818871
"93",9400000,-1.82506968579857,0.325641310434812,15,0.084080224810079,0.14739686801002
"94",9500000,-1.81315229068018,0.391828711895768,15,0.101169738382547,0.177355645856849
"95",9600000,-1.75521860230412,0.380990699247081,15,0.0983713755495909,0.172449974897178
"96",9700000,-1.62028966563619,0.362092163625979,15,0.0934917946343751,0.163895823838128
"97",9800000,-1.5302815510713,0.33516296874985,15,0.0865387064155737,0.151706710062997
"98",9900000,-1.22929536668052,0.293795820642267,15,0.0758577547021895,0.132982463862713
"99",1e+07,-0.951343348936073,0.245280920095637,15,0.0633312612448556,0.111022890051753
"100",10100000,-0.66122216367413,0.221801632441559,15,0.0572689352405185,0.100395327293526
"101",10200000,-1.11299810336328,0.275548493442206,15,0.0711463150782806,0.124723072954196
"102",10300000,-1.16400043588076,0.400308084553124,16,0.100077021138281,0.174722837575678
"103",10400000,-1.39073821128702,0.419736919939511,16,0.104934229984878,0.183202959213216
"104",10500000,-1.64321787443768,0.423058703679416,16,0.105764675919854,0.184652821215121
"105",10600000,-1.81567611669765,0.325645042063149,16,0.0814112605157872,0.142134590799586
"106",10700000,-1.83947801133589,0.289310847313043,16,0.0723277118282608,0.126275771423373
"107",10800000,-1.81989574742191,0.260900893052329,16,0.0652252232630823,0.113875652576489
"108",10900000,-1.83548482363417,0.250952246684182,17,0.0608648600038201,0.105880919844263
"109",1.1e+07,-1.79317096564955,0.274774200933709,17,0.0666425325673159,0.11593179789678
"110",11100000,-1.73690162484694,0.322980696054576,17,0.0783343249922664,0.136270918639097
"111",11200000,-1.66321157948791,0.350775168154429,17,0.0850754746555592,0.14799786793484
"112",11300000,-1.56096935767531,0.382919134405681,17,0.0928715316014535,0.161559941034782
"113",11400000,-1.45452822558263,0.393194629489869,17,0.0953637052242547,0.165895343031554
"114",11500000,-1.33500761434394,0.388246054194703,18,0.0915104725633316,0.158684980096446
"115",11600000,-1.18114663656726,0.360194299267035,18,0.0848986105188191,0.147219590753081
"116",11700000,-0.945129362288741,0.321185855758396,18,0.075704232209322,0.131275953941109
"117",11800000,-1.01463863587637,0.262213122913241,18,0.0618042257760182,0.107172458653367
"118",11900000,-0.756852150333042,0.277501949374314,18,0.0654078367316879,0.113421349264002
"119",1.2e+07,-0.750667622031551,0.303699093365107,18,0.0715825627862244,0.124128716996007
"120",12100000,-1.14091375620819,0.309580331202897,18,0.0729687838385153,0.126532512473511
"121",12200000,-1.28308694550529,0.311798866575149,18,0.0734916976405226,0.12743927826697
"122",12300000,-1.42209817105362,0.331992436947971,18,0.0782513678228525,0.135692849109651
"123",12400000,-1.69862139551428,0.349796367859414,18,0.0824477945826051,0.142969720031574
"124",12500000,-1.61038316413092,0.327123724235424,18,0.0771038012312888,0.13370289564705
"125",12600000,-1.6522843874833,0.306772906854987,18,0.0723070675738234,0.125385054381002
"126",12700000,-1.60564705091693,0.274976365466291,18,0.0648125508957484,0.112389085760364
"127",12800000,-1.62833305349019,0.2596564769831,18,0.061201618551253,0.106127499395817
"128",12900000,-1.59446717832265,0.242801665486279,18,0.0572289013829119,0.0992385551348116
"129",1.3e+07,-1.53498957988871,0.242037615803931,18,0.0570488131457279,0.0989262706767309
"130",13100000,-1.4602125965001,0.246682208449477,18,0.0581435541308995,0.10082462117779
"131",13200000,-1.39801516227454,0.246141790647783,18,0.0580161764334824,0.100603740148404
"132",13300000,-1.32325513608237,0.273290027347853,18,0.0644150771894413,0.11169984107167
"133",13400000,-1.16212332854596,0.260574353571497,18,0.0614179641379021,0.106502656404077
"134",13500000,-1.0931865403839,0.332183264377009,18,0.0782963462792222,0.135770844613924
"135",13600000,-1.03439291230431,0.290722090261623,18,0.0685238538215738,0.118824721097171
"136",13700000,-0.888165905351372,0.25179700700634,18,0.0593491237122199,0.102915155514003
"137",13800000,-0.99708681810852,0.399910487073823,18,0.0942598057591717,0.163452498733818
"138",13900000,-1.56253763491323,0.452274880115561,18,0.106602211563349,0.184855015456946
"139",1.4e+07,-1.6451139682428,0.420080516630206,18,0.0990139273178557,0.171696447910168
"140",14100000,-1.66838188392734,0.415313922462068,19,0.095279548308297,0.164750993246812
"141",14200000,-1.62197825144412,0.376760275899223,19,0.0864347351886955,0.149457136669934
"142",14300000,-1.78164771529943,0.280309622075417,19,0.0643074376594116,0.111196100481754
"143",14400000,-1.81004174713884,0.261643431975555,19,0.0600251199590843,0.103791404436759
"144",14500000,-1.81036286250913,0.234905987857098,19,0.0538911295948254,0.0931849204323629
"145",14600000,-1.7873848517746,0.239902524628885,19,0.0550374137451362,0.0951669979679923
"146",14700000,-1.73937523657886,0.213501760129436,19,0.0489806629827511,0.0846940714935451
"147",14800000,-1.66889862302418,0.309061008366651,19,0.0709034580452109,0.122601495756303
"148",14900000,-1.60305675111493,0.303306626706372,19,0.0695833123536468,0.120318788525031
"149",1.5e+07,-1.4454857471888,0.324811337395633,19,0.0745168313380978,0.128849498077309
"150",15100000,-1.56636117152652,0.336885043926051,20,0.0753297858821652,0.129922655946287
"151",15200000,-0.900042521513854,0.330482174829069,20,0.0738980608269768,0.127453333624757
"152",15300000,-1.05663239310505,0.303899040993582,20,0.0679538913958645,0.117201316167905
"153",15400000,-0.881996129590883,0.225764479994181,20,0.050482472417188,0.0870680411256697
"154",15500000,-0.647889019706693,0.232292642294035,20,0.0519422138842506,0.0895856838638603
"155",15600000,-0.486118475894742,0.388073509262191,20,0.0867758746977153,0.149663934136558
"156",15700000,-1.01735993272721,0.388235642075489,20,0.0868121286969072,0.149726462070343
"157",15800000,-1.2936485766804,0.528721737265636,20,0.118225774570775,0.203906150185655
"158",15900000,-1.44035763418279,0.488355555293212,20,0.109199621882528,0.188338579980848
"159",1.6e+07,-1.75974953404387,0.465773308963473,20,0.104150078094734,0.179629539691612
"160",16100000,-1.75974949320661,0.427527239663691,20,0.0955979970120858,0.164879609433431
"161",16200000,-1.75973943041488,0.352796048605199,20,0.0788875946874546,0.136058873697594
"162",16300000,-1.70810423246425,0.336579748040087,20,0.0752615196467387,0.129804915924671
"163",16400000,-1.7054294449424,0.296384314892212,20,0.0662735475563689,0.114303196493548
"164",16500000,-1.69605166143629,0.294512278064069,20,0.0658549473959579,0.113581229160397
"165",16600000,-1.7596069454587,0.292551035930615,19,0.0671158106026152,0.116052150284836
"166",16700000,-1.65740066358016,0.301617897445811,19,0.0691958912910266,0.11964888605378
"167",16800000,-1.61705749837444,0.331712180076125,19,0.0760999932259681,0.131586995243575
"168",16900000,-1.7595403293953,0.354768458157995,19,0.0813894661824441,0.140733196488273
"169",1.7e+07,-1.46381363920495,0.377756807251374,19,0.0866633551601743,0.149852450963987
"170",17100000,-1.37723119136539,0.399726240602195,19,0.0917034888350733,0.158567511475709
"171",17200000,-1.26606084419761,0.377707060380087,19,0.0866519424451903,0.14983271686404
"172",17300000,-1.2099645804655,0.361887549027149,19,0.0830226976386823,0.143557270588063
"173",17400000,-1.05308637362745,0.312775917602532,19,0.0717557166738233,0.124075164114939
"174",17500000,-1.04418460166848,0.235496911327779,19,0.054026696736513,0.0934193340252191
"175",17600000,-0.982401836489965,0.218359450171038,19,0.050095093508561,0.086621069881884
"176",17700000,-0.905275849178793,0.210950368982466,19,0.0483953337103783,0.0836819594431414
"177",17800000,-1.39237137399286,0.253243860377713,19,0.0580981260767671,0.100459376087243
"178",17900000,-1.40565710027863,0.333838310414121,18,0.0786864443712282,0.136447299518282
"179",1.8e+07,-1.43142494764439,0.347637679180286,18,0.0819389867814447,0.142087414940819
"180",18100000,-1.45808397155126,0.323554832715235,18,0.0762626054328739,0.13224420862698
"181",18200000,-1.48577188650772,0.2694529744489,18,0.0635106751479008,0.110131550405684
"182",18300000,-1.5146753336983,0.264825401916492,18,0.0624199458418681,0.108240156411421
"183",18400000,-1.54501568096412,0.25880839943939,18,0.0610017247572098,0.105780870842378
"184",18500000,-1.57718195184092,0.271118793334872,18,0.063903312424734,0.110812408418042
"185",18600000,-1.61166168786835,0.293755256217149,18,0.0692387778934458,0.120064444911699
"186",18700000,-1.64950764182462,0.312971895943616,18,0.0737681833141805,0.127918722011412
"187",18800000,-1.69272842152195,0.341001264492729,17,0.082704954821924,0.143874095687954
"188",18900000,-0.701941116715014,0.401180607578577,17,0.097300589411526,0.16926475979136
"189",1.9e+07,-0.737072446980138,0.338915109572239,17,0.0821989879343603,0.142993912287177
"190",19100000,-0.678374175363871,0.28794169270421,17,0.0698361184140352,0.121487381316031
"191",19200000,-0.742431031273851,0.292592918486623,17,0.070964206366358,0.123449810705496
"192",19300000,-0.571903777410998,0.309167580346011,17,0.0749841523401905,0.130442935760033
"193",19400000,-1.03250368797179,0.359167200808629,17,0.087110841540671,0.151538605858211
"194",19500000,-1.21820249966968,0.419319605408661,17,0.101699942587778,0.176917904167148
"195",19600000,-1.29260287533947,0.451533501074874,17,0.109512959908038,0.190509481648413
"196",19700000,-1.61503030792027,0.435562399817005,18,0.102663042180163,0.178024245189263
"197",19800000,-1.62622083286966,0.440459302944558,18,0.103817253316266,0.18002572071473
"198",19900000,-1.6567257012403,0.405040201168081,18,0.0954688909663711,0.165549129388922
"199",2e+07,-1.68719836219998,0.347800669564952,18,0.0819774039835331,0.142154032812828
"200",20100000,-1.71912314185735,0.296517036447769,18,0.0698897357365188,0.121193247216814
"201",20200000,-1.7525197958803,0.242022222472696,18,0.0570451849027608,0.0989199790726457
"202",20300000,-1.73705228797528,0.16386578662426,18,0.0386235363088273,0.0669756686720085
"203",20400000,-1.63295038239849,0.198688972933475,18,0.0468314400360836,0.0812086958120641
"204",20500000,-1.86800602492882,0.25913267344865,18,0.0610781568741798,0.105913408994792
"205",20600000,-1.73291597080903,0.287159336249271,19,0.0658788698634099,0.113913315466768
"206",20700000,-1.93150589530074,0.331789387315224,19,0.0761177057813861,0.131617622604324
"207",20800000,-1.77501810069651,0.385103761012355,19,0.0883488619489628,0.152766916056523
"208",20900000,-1.44582618825895,0.392054471238802,19,0.0899434642364847,0.155524195193205
"209",2.1e+07,-1.28648419819235,0.413455265011167,19,0.0948531430451846,0.164013681915359
"210",21100000,-0.952369668327431,0.287627141595228,19,0.0659861917701613,0.114098889297127
"211",21200000,-0.602909568487468,0.270074105304718,19,0.0619592490679172,0.10713577054056
"212",21300000,-0.973160203251076,0.223193870120321,19,0.0512041855090644,0.0885388372509502
"213",21400000,-1.2591992752051,0.234258443403919,19,0.0537425727088856,0.092928045846507
"214",21500000,-1.63356916402957,0.27194205578142,18,0.0640973572442842,0.111148894477676
"215",21600000,-1.57468546996321,0.244192194834032,18,0.0575566522933235,0.0998068960605921
"216",21700000,-1.73004712147819,0.271217447391181,18,0.0639265654088032,0.110852730571461
"217",21800000,-2.08402713783615,0.296764495032849,18,0.0699480622843763,0.121294389160754
"218",21900000,-1.90576902159837,0.288344539785907,18,0.0679634598002429,0.117852962219415
"219",2.2e+07,-1.94256230790485,0.287458243169089,18,0.0677545576842782,0.117490712662775
"220",22100000,-1.88863003317434,0.321026340073198,18,0.0756666340017523,0.131210756257688
"221",22200000,-1.83784877731768,0.398491394037548,18,0.0939253223228102,0.162872483179807
"222",22300000,-1.74827033438503,0.461376546806892,18,0.108747494975862,0.188575073348466
"223",22400000,-1.6746548500601,0.486352901224438,17,0.117957904886703,0.205200364734632
"224",22500000,-1.52692832818749,0.531247117862137,17,0.128846351779444,0.224141980185755
"225",22600000,-1.23516363103518,0.516727373529695,17,0.125324796512407,0.218015858956973
"226",22700000,-1.01144270770467,0.284287727525476,17,0.0689499016855501,0.119945712734398
"227",22800000,-1.10292107830426,0.253516325371632,17,0.0614867404309232,0.106962747218066
"228",22900000,-0.958822061552849,0.21894589211564,17,0.0531021787934044,0.0923769073982473
"229",2.3e+07,-0.822491641511825,0.276296729974148,17,0.0670118000997749,0.116574178179967
"230",23100000,-1.62915680946698,0.318495867570949,18,0.0750701959131035,0.130176494674561
"231",23200000,-1.66497890557945,0.338711787286894,18,0.0798351338861261,0.13843920020137
"232",23300000,-1.65841525859091,0.325321297672791,18,0.0766789652162794,0.132966202974642
"233",23400000,-1.60052986745876,0.339700821790529,18,0.0800682515542421,0.138843441065709
"234",23500000,-1.67124620515931,0.26579866425637,18,0.0626493459753353,0.10863795083422
"235",23600000,-1.60189519351933,0.253164052083959,18,0.0596713393270772,0.10347389788521
"236",23700000,-1.70940688099131,0.271605478852874,18,0.0640180253014289,0.111011327842729
"237",23800000,-1.68107072535387,0.199109762132975,19,0.0456789122005294,0.0789849058805392
"238",23900000,-1.7027983799655,0.220423921384449,19,0.0505687156870403,0.0874400255309568
"239",2.4e+07,-1.70964973074189,0.316207345555853,19,0.0725429402359583,0.125436378206229
"240",24100000,-1.66093155338396,0.256167383868958,19,0.058768828363999,0.101619109418858
"241",24200000,-1.59175696272094,0.231514865650658,19,0.0531131528051902,0.0918396952388026
"242",24300000,-1.64115245842181,0.262998538055578,19,0.0603360026149053,0.104328961837472
"243",24400000,-1.670480419939,0.309160542499015,19,0.0709262927412325,0.122640979978435
"244",24500000,-1.66702394574757,0.330180419598321,20,0.073830586306125,0.127336959087711
"245",24600000,-1.42392129972459,0.32458520090285,20,0.0725794573709198,0.125179114188917
"246",24700000,-1.63133457860864,0.319058071200042,20,0.0713435535973262,0.123047528404105
"247",24800000,-0.921999672599737,0.222564971561321,20,0.049767040582142,0.0858341227881995
