"D","d18Oc","YEARMARKER","mean.day","mean.GR","year","day_new"
0,-0.24,1,8.69904446353951,0,1,36.5
0.2,-0.67,0,60.1226851820597,0.0109567219522835,1,73
0.4,-0.85,0,70.2563147505195,0.0101293730122817,1,109.5
0.6,-0.96,0,99.8073286528073,0.00734335171342681,1,146
0.8,-1.33,0,121.309346958264,0.00379429329401337,1,182.5
1,-1.5,0,164.716132751573,0.00632994956550303,1,219
1.2,-1.49,0,228.949042827319,0.0034943853864364,1,255.5
1.4,-0.86,0,297.697105269727,0.0116934227086435,1,292
1.6,-0.92,0,301.630292111416,0.00935467563820352,1,328.5
1.8,-1.09,0,324.128459136164,0.0130492609163294,1,365
2,-0.49,1,353.285139588205,0.00569816219403467,2,405.555555555556
2.2,-0.8,0,415.31320787588,0.00463549144052723,2,446.111111111111
2.4,-1.23,0,468.872351128048,0.0047315063576004,2,486.666666666667
2.6,-1.56,0,518.662113009715,0.00610594355875491,2,527.222222222222
2.8,-1.59,0,524.726773638152,0.00726175936639942,2,567.777777777778
3,-1.64,0,580.504105679228,0.00716611584419987,2,608.333333333333
3.2,-1.38,0,613.368314048311,0.00706854283151239,2,648.888888888889
3.4,-1.08,0,650.882760832343,0.00758799303286292,2,689.444444444445
3.6,-0.85,0,681.398025339679,0.00763867636078689,2,730
3.8,-0.55,1,729.657138788359,0.00566704773141146,3,775.625
4,-1.09,0,764.465354010386,0.00656454939989119,3,821.25
4.2,-0.89,0,786.326487077148,0.00720060297090302,3,866.875
4.4,-1.15,0,813.100008592873,0.00767565102905826,3,912.5
4.6,-1.73,0,882.462937404399,0.00387221161312813,3,958.125
4.8,-1.82,0,943.062279285291,0.00345758027413894,3,1003.75
5,-1.27,0,996.722587228181,0.00400218153250823,3,1049.375
5.2,-0.94,0,1020.69838039201,0.00376917309811331,3,1095
5.4,-0.49,1,1111.64366681313,0.00507818699867573,4,1135.55555555556
5.6,-1.08,0,1198.46920853752,0.00152516200220986,4,1176.11111111111
5.8,-1.61,0,1234.71788571427,0.00466450733963543,4,1216.66666666667
6,-1.71,0,1262.07196322821,0.00786218716607065,4,1257.22222222222
6.2,-1.53,0,1282.54027830761,0.0101702207782376,4,1297.77777777778
6.4,-1.56,0,1304.17919306627,0.010443167129079,4,1338.33333333333
6.6,-1.52,0,1324.05429815187,0.00909336761085798,4,1378.88888888889
6.8,-1.24,0,1344.25490530828,0.00711893894197856,4,1419.44444444444
7,-0.9,0,1373.44515925549,0.00357166929811577,4,1460
7.2,-0.4,1,1438.70511314061,0.00119452343305936,5,1505.625
7.4,-1.12,0,1567.30604332835,1.24802299359131e-07,5,1551.25
7.6,-1.54,0,1590.95163749547,0.00862737598860119,5,1596.875
7.8,-1.24,0,1608.84617483904,0.0132250429495243,5,1642.5
8,-1.36,0,1626.55888572303,0.00959892147763399,5,1688.125
8.2,-1.57,0,1643.20985812296,0.00938338175133472,5,1733.75
8.4,-1.43,0,1669.4237764174,0.0115026735173557,5,1779.375
8.6,-1.43,0,1686.96069803411,0.00681670736467063,5,1825
8.8,-0.64,1,1854.10558529384,0.000911340346530146,6,1861.5
9,-1.03,0,1905.52893967859,2.45309678741591e-07,6,1898
9.2,-1.14,0,1936.21271274012,4.71204147111998e-07,6,1934.5
9.4,-1.64,0,1966.03104831281,0.00697564959734804,6,1971
9.6,-1.58,0,1989.76603728429,0.00742273251984724,6,2007.5
9.8,-1.73,0,2013.82174205695,0.00893958304994641,6,2044
10,-1.38,0,2035.51260187992,0.00949458082748893,6,2080.5
10.2,-1.45,0,2057.85735974363,0.00967898965714577,6,2117
10.4,-1.4,0,2087.84557691876,0.00934400513736216,6,2153.5
10.6,-0.57,0,2129.82909475233,0.00453239032382913,6,2190
10.8,-0.55,1,2179.784667157,0.0042581042723383,7,2223.18181818182
11,-0.79,0,2271.64091339701,0.00384415112493065,7,2256.36363636364
11.2,-1.66,0,2324.9450687037,0.00903555825610892,7,2289.54545454545
11.4,-1.53,0,2351.82735388534,0.00901826721562287,7,2322.72727272727
11.6,-1.73,0,2379.85382125943,0.00937288562506097,7,2355.90909090909
11.8,-1.7,0,2410.93106617264,0.00442035047182667,7,2389.09090909091
12,-1.47,0,2432.50012607137,0.0054552939616768,7,2422.27272727273
12.2,-1.12,0,2465.98719921201,0.00106343745300328,7,2455.45454545455
12.4,-0.98,0,2433.73939053412,0.00930226665274594,7,2488.63636363636
12.6,-1,0,2516.01019021059,0.0102617637390244,7,2521.81818181818
12.8,-0.93,0,2565.29006576957,0.0104915252845593,7,2555
13,-0.73,1,2581.09613259821,0.00701219781591715,8,2600.625
13.2,-1.02,0,2687.87565691696,0.0101599967250952,8,2646.25
13.4,-1.33,0,3059.84519833694,3.53726449979543e-08,8,2691.875
13.6,-1.29,0,3061.41417955895,4.97919227469925e-07,8,2737.5
13.8,-1.29,0,3057.38434348596,2.62307612238097e-07,8,2783.125
14,-1.46,0,3036.94062796955,4.31357899950119e-07,8,2828.75
14.2,-1.15,0,2787.45307259629,0.00745295795337497,8,2874.375
14.4,-0.95,0,2816.85261317935,0.00560497913932461,8,2920
14.6,-0.35,1,2882.32219924005,0.000473411873682058,9,2960.55555555556
14.8,-1.42,0,3002.65685633575,0.0064694507731977,9,3001.11111111111
15,-1.08,0,3036.71078702008,0.0131979147621962,9,3041.66666666667
15.2,-1.06,0,3009.76602689125,0.0121449946480643,9,3082.22222222222
15.4,-1.17,0,3044.12844238184,0.00981383492233895,9,3122.77777777778
15.6,-1.28,0,3072.58486117866,0.00866673305108768,9,3163.33333333333
15.8,-1.73,0,3074.65260701865,0.000408812798124764,9,3203.88888888889
16,-0.74,0,3181.53213600805,0.00536870613771544,9,3244.44444444444
16.2,-0.36,0,3307.32286409901,0.00394143770077746,9,3285
16.4,-0.16,1,3335.0743305557,0.00185331356451574,10,3321.5
16.6,-1.23,0,3415.47512700602,0.00861530840588832,10,3358
16.8,-1.26,0,3394.98674375208,0.0102231267071913,10,3394.5
17,-1.02,0,3445.04580995197,0.0119631428454842,10,3431
17.2,-1.14,0,3378.24551429117,0.0100571372961542,10,3467.5
17.4,-1.26,0,3394.4813374813,0.0149013161472021,10,3504
17.6,-1.72,0,3446.05212656301,0.001399241855997,10,3540.5
17.8,-0.77,0,3588.29228759736,0.00853636915726415,10,3577
18,-0.82,0,3622.55237495377,9.79548654403854e-07,10,3613.5
18.2,-0.95,0,3638.54040763081,0.000326002251508812,10,3650
18.4,-0.57,1,3649.16751474997,2.5559096201627e-06,11,3695.625
18.6,-0.93,0,3679.02076598432,0.0119995575785371,11,3741.25
18.8,-0.89,0,3695.51624035344,0.0125531767685623,11,3786.875
19,-0.89,0,3720.11702120548,0.00676618102579832,11,3832.5
19.2,-1.41,0,3753.00788374078,0.00537094511297855,11,3878.125
19.4,-1.49,0,3817.32688134714,0.00384034897848961,11,3923.75
19.6,-1.29,0,3896.35954364199,0.00158943509392717,11,3969.375
19.8,-0.72,0,4020.7036607125,0.0068732670685841,11,4015
20,-0.65,1,4057.75032495369,0.00669552987318428,12,NA
20.2,-0.97,0,4091.63939385615,0.00606835076144156,12,NA
20.4,-1.35,0,4126.89655272309,0.00526418416332522,12,NA
